GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRDUN,G18GOVDBEG,G18GOVLTOI,G18GOVIWAL,G18GOVOWRI,G18HALRYOU,G18HALDGAL,G18HALOWRI
0205038-828,02,050,38-828,63.84126029400518,126.02313261725102,3.145433451322174,12.150417108454027,0,85.12336496719263,114.89450488423552,0.9984700841410529
0205038-830,02,050,38-830,13,73,0,4,0,43,47,0
0205038-832,02,050,38-832,23.988110443741668,52.973459753755655,1.9990533019483534,4.997498463830869,0,48.97536313438043,34.98273885985315,0
0205038-836,02,050,38-836,41,58,9,3,0,46,64,0
0205038-838,02,050,38-838,13.825000000000001,87.8875,1.975,1.975,0,27.650000000000002,80.975,0
0205038-840,02,050,38-840,13.723666329626926,88.80019389758598,0.8072744899780545,8.072744899780545,0,44.40009694879299,67.00378266817852,0
0205038-842,02,050,38-842,21,60,3,10,0,49,44,0
0205038-844,02,050,38-844,13.105228946666806,82.3638424596615,4.007134165875716,3.0249695805650045,0,33.103445405197874,70.39951328904009,1
0205038-846,02,050,38-846,30.84970571917399,80.01642420910753,1.9281066074483744,9.640533037241871,0,78.08831760165916,45.310505275036796,0
0205038-848,02,050,38-848,30.47710843373494,93.39759036144578,1.966265060240964,7.865060240963856,0,64.88674698795181,69.80240963855422,0
0205038-852,02,050,38-852,58.894771053333194,203.6361575403385,3.9928658341242844,13.975030419434995,0,57.89655459480212,223.60048671095993,0
0205038-854,02,050,38-854,44.56611570247934,76.25757575757575,5.942148760330578,10.893939393939394,0,85.17079889807162,54.46969696969697,0
0205038-856,02,050,38-856,17,120,5,11,2,81,78,0
0205038-858,02,050,38-858,26,129,4,4,0,35,125.99999999999999,0
0205038-860,02,050,38-860,35.42933776415721,35.752907810863135,1.0584025058914586,4.106710832831271,0,51.82984687251005,24.53679578778949,0
0206037-722,02,060,37-722,100.98168651647846,61.988758059620444,7.9985494270477995,6.998730748666825,0,107.98041726514529,65.98803277314435,0
0206037-734,02,060,37-734,77.16312056737588,83.5177304964539,9.078014184397164,3.631205673758865,0,106.2127659574468,64.45390070921985,0
0206037-748,02,060,37-748,5.226959413610226,12.694044290196265,0.7467084876586038,0,0,13.440752777854868,5.226959413610226,0
0206309-650,02,063,09-650,342,338,10,31,1,403,304,4
0206309-655,02,063,09-655,205,161,8,23,1,222,172,0
0206309-660,02,063,09-660,283.48714083284545,256.5358985705679,24.954853946553296,22.958465630829032,0,315.4293538844337,264.52145183346494,2.9945824735863957
0206309-665,02,063,09-665,57.51125112511251,48.462646264626464,1.045004500450045,11.041404140414041,0,53.56885688568857,64.47704770477048,0.0054005400540054005
0206332-805,02,063,32-805,277.58080623092485,641.0319338138625,21.96682639237535,23.963810609864016,5.990952652466004,450.31994104369466,501.24303858965567,1.996984217488668
0206332-850,02,063,32-850,7.75982600219515,17.484488710657576,0.9507526367646533,2.7889264775559908,2.7617844349540044,16.278902451685383,15.43822587658434,0.9205948116513347
0206606-020,02,066,06-020,83,18,2,2,0,90,15,2
0206606-025,02,066,06-025,258.2903225806452,156.33870967741936,10.935483870967742,15.17741935483871,0,290.35483870967744,138.7258064516129,0.9677419354838709
0206606-035,02,066,06-035,70.99857434509997,66.9986546636859,0,3.999919681414083,2.9999397610605625,81.99835346898871,59.99879522121125,1.9999598407070416
0206606-047,02,066,06-047,113.70967741935483,38.66129032258065,6.064516129032258,6.82258064516129,0,107.64516129032258,49.274193548387096,3.032258064516129
0206606-053,02,066,06-053,8.195121951219512,34.829268292682926,0,0,0,17.756097560975608,25.268292682926827,0
0206606-060,02,066,06-060,2.348042608774561,3.5220639131618414,0.3062664272314645,0.10208880907715483,0,3.777285935854729,2.6543090360060257,0
0206606-090,02,066,06-090,0,0,0,0,0,0,0,0
0206609-632,02,066,09-632,191.9836993202805,67.99422684259935,4.999575503132305,7.9993208050116875,0,192.98361442090695,72.99380234573165,2.9997453018793827
0206806-005,02,068,06-005,72.83209009074017,26.573870708783573,0.9842174336586509,0,0,67.91100292244691,31.49495787707683,0
0206806-012,02,068,06-012,73.99890027750338,64.9990323847819,0.9999850776031104,1.9999701552062208,0,85.99872086740616,56.99915210529156,0
0206806-024,02,068,06-024,46.40954859931728,25.572608411868707,0,0,0,44.51528130954923,27.46687570163676,0
0206806-026,02,068,06-026,17.16303760124656,131.10142757725902,1.0048429352921167,4.002851911923119,0,17.167188696686637,134.1057977838147,1.8239624343828193e-5
0206806-040,02,068,06-040,292.04870167325225,196.10751952149212,13.002919903026767,6.0037731780851535,0.001126534229635533,289.05611521882673,221.1062910529381,8.192976215531148e-4
0207037-702,02,070,37-702,31.99995667232465,78.99989303480149,3.9999945840405813,2.9999959380304357,0,73.99989980475075,42.999941778436245,0
0207037-710,02,070,37-710,40.21406727828746,127.91743119266054,2.8348623853211006,3.058103975535168,0.1529051987767584,74.81039755351681,98.90825688073394,0.3058103975535168
0207037-714,02,070,37-714,222.78593272171253,559.0825688073394,10.1651376146789,16.941896024464832,0.8470948012232415,309.18960244648315,498.0917431192661,1.694189602446483
0207037-718,02,070,37-718,13,36,1,0,0,32,21,0
0207037-724,02,070,37-724,24,59,3,0,0,41,45,0
0207037-732,02,070,37-732,43.05250350269154,122.64788732394366,1.1184278445542364,4.180517660939459,0.03664921465968586,94.0073003465821,76.9553867708871,0.07329842931937172
0207037-736,02,070,37-736,15,195,0,6,0,88,131,0
0207037-754,02,070,37-754,59.94578541220016,187.34675501612708,3.88145995314358,7.819257934456174,0.9633227347647683,148.9884359659349,109.0414996152273,1.9266454695295365
0209001-446,02,090,01-446,607.4632358154334,618.9147432742465,35.308499659858235,23.559279198922006,0,598.6513204697312,666.9880680663487,14.698693231580199
0209001-455,02,090,01-455,122,104,3,7,0,129,105,0
0209001-465,02,090,01-465,202,195,16,9,1,198,225,1
0209001-470,02,090,01-470,295,400,20,20,6,325,419,1
0209001-475,02,090,01-475,170.7186147186147,200.9090909090909,12.623376623376624,11.415584415584416,1,161.56277056277057,226.75757575757575,5.259740259740259
0209001-480,02,090,01-480,486.71267373021334,507.70028389106443,16.989970130212786,15.99056012255321,0,524.6902540212773,493.7085437838304,1.9988200153191513
0209001-485,02,090,01-485,252.02942216795384,280.0352288855673,11.002587080453944,9.002376228218761,2.3789886007355923e-4,241.03230676128157,311.0370697020522,2.0000919028051456
0209001-490,02,090,01-490,269.98542225866663,320.8519775344745,22.49864995509776,20.542231499893667,1.9563914085792051,292.4837747008906,339.43811513866274,0.9782227509144941
0209001-495,02,090,01-495,155,133,3,7,0,158,137,2
0209002-345,02,090,02-345,947.2923711760147,374.410208302124,35.7474644974234,28.783490637168505,0.0015696270700870346,935.3523577753984,433.0184077886246,9.930915992666293
0209002-355,02,090,02-355,412.52822393943705,422.211985064776,32.924787826152254,12.588889462940568,0,429.9589939650471,447.3897639906571,3.8735044501355596
0209002-365,02,090,02-365,656.5410996189439,508.8791507893304,23.13445835601524,27.062057702776265,3.010342950462711,676.5514425694066,538.0963527490474,6
0209002-375,02,090,02-375,160.292015985783,92.63344484337908,13.579717194145468,6.328551513603918,0.9895595779895308,161.42051229158494,114.20430577656414,0.12868307997439718
0209003-130,02,090,03-130,911.0879175550817,365.97903340440655,43.61686211798152,21.4670486851457,4.074626865671641,904.5041755508173,427.2112206823028,5.173152096659559
0209003-135,02,090,03-135,944.9703808779434,250.46205524067952,29.935704086785773,12.972138271081,10.976424355212073,931.0003852756796,303.34846571360913,8.98071135810821
0209003-165,02,090,03-165,1137.8744945247786,326.6007128423682,48.30439223849748,15.5183405458933,0.9877098121697299,1102.0701606950663,409.5321712310505,19.108493676230783
0209003-175,02,090,03-175,500.3129664496153,179.27892042721876,24.587385653746896,9.222620516795905,0.01484136778639365,472.5435185770915,233.49591258570302,11.656985987941479
0209003-183,02,090,03-183,929.9678571428572,226.82142857142856,24.572321428571428,17.95669642857143,0,897.8348214285714,278.8013392857143,9.450892857142858
0209004-230,02,090,04-230,192,471,18,11,0,196,497,4
0209004-240,02,090,04-240,554.2174298380912,1001.2568348917569,19.128961993814677,48.085974662543116,3,597.1851893396375,1012.4323664944491,1.0537341640894486
0209004-250,02,090,04-250,256,489,15,14,0,249,526,1
0209004-260,02,090,04-260,270.848126956303,828.1357611491027,16.70549442888697,15.597598081707634,0,274.06598807458244,855.7334344093221,0
0209004-265,02,090,04-265,1164.703869396557,771.5587393741934,48.54398685309912,34.69471886610073,4.894433241840106,1214.0479625509731,790.1064143094549,14.512808419452199
0209004-270,02,090,04-270,1153.310653864059,917.4495457073662,56.45728027702174,36.305865963185816,3.105664229707652,1158.9666581811905,1007.9039176746076,7.487191580547801
0209004-280,02,090,04-280,67.4149377593361,207.49792531120332,6.12863070539419,12.25726141078838,0,69.16597510373444,220.63070539419087,0
0209005-580,02,090,05-580,82,85,8,2,0,80,92.00000000000001,1
0209005-582,02,090,05-582,1262.2010821575936,1534.1914674053025,64.20335455312976,52.157453056684695,11.104299074646589,1327.0279855586311,1589.8319432383207,8.075536416990648
0209005-586,02,090,05-586,371.28732626978666,541.2997161089355,20.010029869787214,14.00943987744679,0,398.3097459787228,539.2914562161696,6.0011799846808485
0209005-587,02,090,05-587,123.97579845275813,61.291010235848105,5.1365138045864915,0.6992381813521775,0.04337069256072118,121.81219421492663,68.19072363410416,1.0967148568848546
0209005-588,02,090,05-588,172.91621805647503,138.31453578791277,5.0298085576908464,6.959865728823172,2.9582272808042434,180.88248095562332,145.28093339854,3.9297877481744496
0209005-590,02,090,05-590,179.76991793244665,38.39745819916336,6.1086865316850805,0,0,164.06186685097072,59.34152630779792,2.61800851357932
0209005-592,02,090,05-592,228.60071962786066,339.9193309249058,9.939161722950463,9.939161722950463,0,228.60071962786066,355.8219896816266,1.9878323445900925
0209005-594,02,090,05-594,27.999999999999996,45,0,3,0,23,52,0
0209005-596,02,090,05-596,706,758,32,35,0,715,796,11
0209006-145,02,090,06-145,217.1776809012344,68.77341851127854,23.900275196589476,5.9770912378847685,1.101536726595734e-6,212.20280034639927,105.6156768708569,0.998354984039389
0209006-150,02,090,06-150,222.99881911938255,71.999618729128,7.9999576365697775,3.9999788182848888,0,225.99880323309623,79.99957636569778,0
0209006-155,02,090,06-155,218.3819188630268,48.92037296288137,6.6388058442605296,3.7529563352877537,1.8720159519262038,213.707785961717,65.83805158844255,0.021604113381914425
0209006-160,02,090,06-160,456.994758945877,109.99168025827187,12.277093611677923,2.168743916612284,1.083804544582255,443.80994858236227,132.72116622046397,2.9928615129134686
0209006-170,02,090,06-170,432.4790954319312,255.3181094527363,16.477358661239258,13.192594171997156,5.925373134328358,429.7740712024294,283.6462143826323,1.245224526717064
0209006-180,02,090,06-180,413.09700286691594,223.4787064689873,20.31624604263521,10.641843165189872,0,420.8365251688722,243.7949525116225,7.739522301956271
0210033-545,02,100,33-545,546.442114150414,670.8620939799719,25.878872491561424,39.81368203142548,0.9953472580019208,533.5028393283382,767.4100281670134,0.995378501299624
0210033-550,02,100,33-550,97,113,6,5,0,95,126,0
0210533-505,02,105,33-505,122.09812202181591,263.5758365076574,11.099364613055034,11.152868635469282,0.0038217158867320687,134.0484397152884,276.9465429486704,0.0038217158867320687
0210533-530,02,105,33-530,16.73700577521102,44.976899155930695,0.6086183918258552,1.034651266103954,0,17.710795202132388,44.91603731674812,0.060861839182585524
0210533-555,02,105,33-555,0,0,0,0,0,0,0,0
0210535-700,02,105,35-700,74.13384385539791,167.42209467314848,1.0123999649966844,21.012532443224355,3,83.13770613229207,176.4405895398381,2.001997997622633
0210535-720,02,105,35-720,234,213,11,16,1,240,235,1
0210535-750,02,105,35-750,30,23,3,4,0,34,23,0
0210535-755,02,105,35-755,0,0,0,0,0,0,0,0
0210535-775,02,105,35-775,19.461950858609285,66.56713092659865,1.0218774541417877,2.0336576217565963,8.414405439149093e-4,21.45101213153839,67.64875065935838,8.414405439149093e-4
0211033-500,02,110,33-500,275.9453251507784,1013.7991293582945,29.99405708160635,24.99504756800529,0,303.9397784269443,1027.7963559963775,2.999405708160635
0211033-510,02,110,33-510,281.9208309938237,787.778775968557,22.993542953396968,26.992419988770354,0,275.9225154407636,843.7630544637844,4.998596294216732
0211033-515,02,110,33-515,187,1204,7,31,3,183,1219,2
0211033-520,02,110,33-520,175,434,1,7,2,183,431,0
0211033-525,02,110,33-525,562,534,21,50,5,516,670,1
0211033-530,02,110,33-530,258.262994224789,694.0231008440693,9.391381608174145,15.965348733896047,0,273.2892047978676,693.0839626832519,0.9391381608174145
0211034-400,02,110,34-400,440.75750577367205,669.9907621247114,20.66050808314088,12.789838337182449,1.9676674364896074,447.64434180138574,691.635103926097,1.9676674364896074
0211034-410,02,110,34-410,424.24249422632795,390.0092378752887,4.339491916859123,22.21016166281755,0.03233256351039261,397.3556581986143,440.36489607390297,6.032332563510392
0211034-420,02,110,34-420,375,686,8,9,7,391,691,0
0211034-430,02,110,34-430,490,620,15,26,5,480,674,6
0211034-440,02,110,34-440,707,657,27,54,2,666,775,1
0211034-450,02,110,34-450,639,704,24,29,3,607,789,1
0211034-460,02,110,34-460,901,916,26,63,3,861,1033,3
0212229-100,02,122,29-100,505.2374812773291,443.3393995057739,20.89316344101247,29.59571688098155,0.048933625487610447,515.2169014093009,474.1676325406642,0.14680117781545624
0212229-110,02,122,29-110,99.00232330837616,100.0034474898485,4.000099927241985,8.00007494543149,0,93.00257312648111,112.00329759898551,2.4981810496285917e-5
0212229-115,02,122,29-115,428.5582413422611,121.08285064099499,11.479679407948675,13.767991714986982,0.3052032781616583,397.9310113291762,164.93633004292732,6.3079214162620545
0212229-120,02,122,29-120,31.079738625358175,75.12285167772188,5.00863920250674,2.001915941601732,1.0019203079264685,35.08645751993845,80.12956620597741,0
0212229-130,02,122,29-130,462.3314892082643,166.09246900590753,0.18231367321383946,0.1626040869204514,0.04434656916012311,435.1494962291497,199.46163178945397,0.09362053489359325
0212229-140,02,122,29-140,122.21877551020408,144.4530612244898,5.531428571428571,0.30367346938775513,1.1012244897959185,117.51020408163265,151.61714285714285,3.126530612244898
0212229-150,02,122,29-150,1083.230215827338,268.68345323741005,37.84892086330935,24.028776978417266,10.633093525179856,1056.230215827338,359.6402877697842,12.107913669064748
0212229-160,02,122,29-160,991.7697841726618,252.31654676258992,33.15107913669065,11.971223021582734,7.366906474820143,991.7697841726618,298.35971223021585,12.892086330935252
0212229-170,02,122,29-170,374.27579588228434,509.97421866846815,26.071577827304736,32.360864902103096,0.9497145543979355,387.27875147658057,530.1201276408227,2.8491436631938063
0212229-180,02,122,29-180,789.5629921259842,160.08661417322836,20.751968503937007,12.846456692913387,3.952755905511811,774.740157480315,192.6968503937008,4.940944881889764
0212229-190,02,122,29-190,803.0551497031934,233.20607478660253,19.220442826812253,11.060453225876337,3.6408163265306124,777.2615797911521,275.51070670306336,4.614714675679188
0212230-200,02,122,30-200,737.6209238662306,265.38969204702505,22.44162897905433,24.391516665564236,5.854303210793307,697.6210254060599,333.6858427074753,16.58652574218109
0212230-210,02,122,30-210,1225.4499249972855,442.5113105020119,46.68800128297424,30.286246243985612,8.42812913217319,1241.1107018519212,489.07928801871026,12.978369439086492
0212230-220,02,122,30-220,962,427,43,23,11,892,551,15
0212230-230,02,122,30-230,500,224,18.000000000000004,12,2,498,247,8
0212230-240,02,122,30-240,465.2770476924305,180.6993054391605,18.71487206802181,11.23295876319779,4.678600177631343,459.65317738458157,211.5837989614383,9.357542107587115
